,Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return
371,2014-06-24,2017-06-26,2017-06-27,2018-06-27,0.057627790338012595,0.06048773331910672,0.13171481629004264,0.07437079676061287,0.08063276402627716,0.1519489293543931,0.06434162604177006,0.07457657853490747,0.14657939402192396
372,2014-06-25,2017-06-26,2017-06-27,2018-06-27,0.057627790338012595,0.06048773331910672,0.13171481629004264,0.07437079676061287,0.08063276402627716,0.1519489293543931,0.06647820585274723,0.07667518184737529,0.14935470309639107
373,2014-06-26,2017-06-26,2017-06-27,2018-06-27,0.057627790338012595,0.06048773331910672,0.13171481629004264,0.07437079676061287,0.08063276402627716,0.1519489293543931,0.06179141291690268,0.07183699157109219,0.13935052952568858
374,2014-06-27,2017-06-27,2017-06-28,2018-06-28,0.05643041013977329,0.059188429882289,0.12871086851237531,0.07293496652760255,0.07896710885841765,0.1485877521190351,0.06718040307088162,0.07747815911502515,0.15087773064442728
375,2014-06-30,2017-06-30,2017-07-03,2018-07-03,0.0552023002695803,0.05780036090528373,0.12549545864808237,0.07837405882944198,0.08445707024539024,0.15958425810741547,0.06748823492176913,0.07709152069277998,0.15122992167537044
376,2014-07-01,2017-07-03,2017-07-05,2018-07-05,0.05864776555008328,0.06136905580007474,0.13402307193632199,0.08231575911239847,0.08889573551131112,0.16864266391176633,0.07042356343106315,0.08119466847822819,0.1601711091455197
377,2014-07-02,2017-07-03,2017-07-05,2018-07-05,0.05864776555008328,0.06136905580007474,0.13402307193632199,0.08231575911239847,0.08889573551131112,0.16864266391176633,0.07370824935213602,0.0849290712331819,0.16795207492916056
378,2014-07-03,2017-07-03,2017-07-05,2018-07-05,0.05864776555008328,0.06136905580007474,0.13402307193632199,0.08231575911239847,0.08889573551131112,0.16864266391176633,0.07147952659615506,0.08258182232371944,0.16288654041944753
379,2014-07-07,2017-07-07,2017-07-10,2018-07-10,0.07059171654657434,0.07357312273998895,0.16400669928972858,0.09142653796687408,0.09816136720911046,0.18865373796698404,0.08227361121694124,0.0945006444691481,0.19316229587642986
380,2014-07-08,2017-07-10,2017-07-11,2018-07-11,0.06631266558752567,0.06960263534029369,0.15373759150710437,0.08796603716742965,0.09484571248552556,0.18130922617859763,0.08233006241996288,0.09495624095044106,0.18909677697542868
381,2014-07-09,2017-07-10,2017-07-11,2018-07-11,0.06631266558752567,0.06960263534029369,0.15373759150710437,0.08796603716742965,0.09484571248552556,0.18130922617859763,0.07941312144914996,0.09213794438782504,0.1837957005055294
382,2014-07-10,2017-07-10,2017-07-11,2018-07-11,0.06631266558752567,0.06960263534029369,0.15373759150710437,0.08796603716742965,0.09484571248552556,0.18130922617859763,0.08069554552235803,0.09392514715177688,0.1895916565633224
383,2014-07-11,2017-07-11,2017-07-12,2018-07-12,0.06776592813204152,0.07121531755975254,0.15756677699108237,0.08797145456349653,0.09485208450331387,0.1813224501265471,0.0800846269783797,0.09231164555895555,0.18343516110727326
