,Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return,Scaled,k,KMeans_Sharpe,KMeans_Sortino,KMeans_Return
10,2013-01-16,2018-01-16,2018-01-17,2019-01-17,-0.023688139841684337,-0.029581948208738194,-0.06683926132954429,-0.019054747067566793,-0.02417301704319597,-0.04915368826380735,-0.014398684793807128,-0.01889366245034865,-0.03988137038041141,False,30,-0.018564425855572532,-0.02338699292939883,-0.06183414476002001
11,2013-01-17,2018-01-17,2018-01-18,2019-01-18,-0.017662888732993386,-0.02205369820342359,-0.05040627592922186,-0.01339190216868429,-0.017003174076586677,-0.03490145267624617,-0.009932397855997326,-0.01302037469333631,-0.02757286372906062,False,30,-0.014432142533761167,-0.018232088624320575,-0.04638436169750868
12,2013-01-18,2018-01-18,2018-01-19,2019-01-22,-0.022521533856562765,-0.028286781805739583,-0.06394822395344094,-0.021357734623839747,-0.027245428389733112,-0.05519177333061635,-0.012595310881326361,-0.01662061435257908,-0.03573443211731809,False,30,-0.03657848267105222,-0.04640437947666621,-0.1024032345019246
13,2013-01-22,2018-01-22,2018-01-23,2019-01-23,-0.021990419705452232,-0.02767840988548349,-0.062386144195184255,-0.02287816195067312,-0.029234759364832975,-0.05887271399672381,-0.015680024682926345,-0.02044452111863245,-0.04350664978129428,False,30,-0.021534238890401108,-0.028449970009422523,-0.06672912807418918
14,2013-01-23,2018-01-23,2018-01-24,2019-01-24,-0.02284000138932282,-0.02877037751299097,-0.06471397212353021,-0.021250903194307048,-0.027165711445211765,-0.054822523240517285,-0.01961331715161126,-0.02575202048887101,-0.054154071619738675,False,30,-0.015564477048685622,-0.02028107214040302,-0.05279615963473618
15,2013-01-24,2018-01-24,2018-01-25,2019-01-25,-0.0221070083301323,-0.02785862164293271,-0.062728870367942,-0.016839819676053695,-0.02149980984756378,-0.04374892786009743,-0.01308628747314204,-0.017117369357551652,-0.036122245728285866,False,30,0.0039016485394918667,0.005046202572215108,0.013573215649310503
16,2013-01-25,2018-01-25,2018-01-26,2019-01-28,-0.027888916403986087,-0.035290250239143235,-0.07846537610447384,-0.020679452305475993,-0.026432439685760836,-0.05340145166243879,-0.0158352487965247,-0.0207067192955636,-0.04362834493144974,False,30,-0.02204095934019035,-0.02974073399734839,-0.07093383829840237
17,2013-01-28,2018-01-29,2018-01-30,2019-01-30,-0.014170836278830496,-0.017827545740594957,-0.04072691277777678,-0.008302017400854839,-0.010525569801579666,-0.02180225347428553,-0.006278784330744881,-0.008238470676956018,-0.01712432838124813,False,30,0.000452983672655494,0.0005859609959572829,0.0014506754992661525
18,2013-01-29,2018-01-29,2018-01-30,2019-01-30,-0.014170836278830496,-0.017827545740594957,-0.04072691277777678,-0.008302017400854839,-0.010525569801579666,-0.02180225347428553,-0.009878802955223965,-0.012916464643849853,-0.02842480468407366,False,30,-0.005839000985379015,-0.007293598057379228,-0.016732102563169343
19,2013-01-30,2018-01-30,2018-01-31,2019-01-31,-0.015325982379709703,-0.019291302465376376,-0.04396739945541274,-0.004460342433611366,-0.005658063269923133,-0.011790783603504145,-0.0014775583921078739,-0.00215710105645824,-0.004584991194168071,False,30,-0.004305851789862525,-0.005677286783007728,-0.014480734806892574
