,Unnamed: 0,Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return,Scaled,k,KMeans_Sharpe,KMeans_Sortino,KMeans_Return
676,676,2015-09-09,2020-09-09,2020-09-10,2021-09-10,0.1066858195796171,0.151109044631812,0.2568820244146121,0.1517678387682891,0.2091830522656881,0.4049696310035283,0.1371770603506475,0.2015626901486685,0.404264826303125,True,30,0.16556357192395396,0.23486317046407384,0.6467759326343967
677,677,2015-09-10,2020-09-10,2020-09-11,2021-09-13,0.1079013757582723,0.1529536191298362,0.2603947755592593,0.1487115174327984,0.2057532036746878,0.3955365127256237,0.136621704974643,0.2028056882965102,0.4023308364750253,True,30,0.172066312835762,0.2664450322995763,0.5870657352517193
678,678,2015-09-11,2020-09-11,2020-09-14,2021-09-14,0.0985776806332549,0.1401806325426232,0.2352074660642166,0.1404075156416458,0.1942241279731394,0.3679118610375014,0.1302722611892144,0.1920923052203766,0.3807828094245411,True,30,0.12592449775320735,0.18574841660318195,0.4983562381918751
679,679,2015-09-14,2020-09-14,2020-09-15,2021-09-15,0.1016269086488022,0.1446563876525534,0.2435665286962299,0.141629081036741,0.1960299056949778,0.3719020366647959,0.1273589982224177,0.1874529360387594,0.3681162121736451,True,30,0.10850186506956379,0.15928429132219757,0.38796342838540654
680,680,2015-09-15,2020-09-15,2020-09-16,2021-09-16,0.1001503303620842,0.1428595386908947,0.2396849374596718,0.1403072473146509,0.1941928651159664,0.3678428826891995,0.1333009562912403,0.1955937880992183,0.3845611488270571,True,30,0.13735027887977325,0.19077120807965361,0.581216814689765
681,681,2015-09-16,2020-09-16,2020-09-17,2021-09-17,0.1000815794252722,0.1427755348249496,0.2395134081964108,0.1403318954601828,0.1942248328316251,0.3679093964762591,0.1283138334045557,0.1877141273646035,0.3704859052214028,True,30,0.08759509317203595,0.1256234259747547,0.3417328579552796
682,682,2015-09-17,2020-09-17,2020-09-18,2021-09-20,0.0951551006258153,0.1345341332476429,0.2282587763413115,0.1387439613644048,0.1916576003962983,0.3639136775255227,0.1247770387332042,0.1827335896267887,0.361902767038276,True,30,0.09103493198687469,0.1289769117112234,0.3451825014182079
683,683,2015-09-18,2020-09-18,2020-09-21,2021-09-21,0.1041316281186136,0.1480802170121722,0.2494554168451487,0.1472793992826483,0.203666033472557,0.3864193569651982,0.1336052483350553,0.1972635646965136,0.396923931233765,True,30,0.10154923398933018,0.14263123856798593,0.3864651873069737
684,684,2015-09-21,2020-09-21,2020-09-22,2021-09-22,0.1061749179709958,0.1512505283182977,0.255427100848095,0.1475287920723502,0.2040711073861852,0.3873205814805931,0.1335284621717156,0.1966927057162265,0.3878384717655345,True,30,0.09885155212189713,0.13833417091028052,0.37288342448884576
685,685,2015-09-22,2020-09-22,2020-09-23,2021-09-23,0.1228688162109143,0.1771434063016209,0.2989818155121431,0.1647142351534473,0.2312694929498385,0.4347016744925475,0.1500700337004071,0.22362308133924,0.4514480938101462,True,30,0.13169581160534363,0.18031657070064847,0.5369504321273444
686,686,2015-09-23,2020-09-23,2020-09-24,2021-09-24,0.122402582819581,0.1764671200030729,0.2976852406550709,0.1636651110212632,0.2301190853266644,0.4314636379381458,0.1446501677693883,0.2168622039504172,0.4243404438886077,True,30,0.13596839596604243,0.19280161504161475,0.5988255866253687
687,687,2015-09-24,2020-09-24,2020-09-25,2021-09-27,0.1176181065676142,0.1688604549370749,0.283190594626577,0.1543510236735255,0.2172761239455571,0.4009703861708725,0.137488539923083,0.2040576226845755,0.3997442035771739,True,30,0.14483005967027196,0.20403332798273738,0.481571309268584
688,688,2015-09-25,2020-09-25,2020-09-28,2021-09-28,0.1024841869827511,0.1461893993179269,0.2434713237002319,0.1365598735634054,0.1896954184496042,0.3493120952611969,0.126819674765743,0.1870808186654621,0.3700250785659393,True,30,0.08594486600504035,0.1182054936692452,0.29991258884228206
689,689,2015-09-28,2020-09-28,2020-09-29,2021-09-29,0.1060580636812626,0.150517697441336,0.2527280982703037,0.1393807344309447,0.1926864202623945,0.3573877643731566,0.1211221279049246,0.1780982771139682,0.3445798366400713,True,30,0.11282817393074758,0.1557262966740755,0.4255915787111477
690,690,2015-09-29,2020-09-29,2020-09-30,2021-09-30,0.0924876779865164,0.1308490820601479,0.2182092106215943,0.1285943384684229,0.1780713914686978,0.3277049746718578,0.1176023566092179,0.173710797164963,0.3334588006710873,True,30,0.13804373108304246,0.19639817709368598,0.47078053268158015
691,691,2015-09-30,2020-09-30,2020-10-01,2021-10-01,0.0980445215838886,0.139394713303658,0.2340145902477648,0.1285689169231205,0.1780320285708449,0.3276217867620824,0.1143888549773411,0.1675197894493063,0.3212879473626489,True,30,0.14505024321935933,0.21310883606281456,0.5246490697998938
692,692,2015-10-01,2020-10-01,2020-10-02,2021-10-04,0.0956874556081877,0.136190661482658,0.2283045400113267,0.1246817859337204,0.1728266112894293,0.3175312287858065,0.1153385247512527,0.1701168181589945,0.3272568739677966,True,30,0.12075885184586632,0.16462246786452572,0.3588644276912913
693,693,2015-10-02,2020-10-02,2020-10-05,2021-10-05,0.0926348626922188,0.13118316058794,0.219052540836508,0.1212731310028517,0.1672290591531911,0.3058162562391882,0.1104893065845263,0.1619519974251464,0.310120225151198,True,30,0.10876042748245482,0.15221393770163047,0.36650294616064477
694,694,2015-10-05,2020-10-05,2020-10-06,2021-10-06,0.1008706711755547,0.1423255954652287,0.2392354440716661,0.1276899444397935,0.1750545892328021,0.3231333731852854,0.1189718482799622,0.1735788682122203,0.3413917872706037,True,30,0.11110025955567412,0.15489411543544337,0.37552943163817337
695,695,2015-10-06,2020-10-06,2020-10-07,2021-10-07,0.0972402120237971,0.1362496041585022,0.2279396319409922,0.1246332931432356,0.1699484348074724,0.3123708535426219,0.1149493297548674,0.1666840194785814,0.3201445192043947,True,30,0.08818195568872514,0.12174605863290278,0.3190095374007811
696,696,2015-10-07,2020-10-07,2020-10-08,2021-10-08,0.0951140829383229,0.1332200582742466,0.2223615437855288,0.1173986417977639,0.1605496757944638,0.2913281962786264,0.1070735479550316,0.1552673138574353,0.3006080898909997,True,30,0.12516262137119602,0.17292722049968265,0.4620763323667399
697,697,2015-10-08,2020-10-08,2020-10-09,2021-10-11,0.0889077758766467,0.1252189813707458,0.2067086015755277,0.111244112701441,0.1528492377025639,0.2742135860164578,0.1008928349998274,0.148536388652019,0.2789404803908187,True,30,0.08837549326464597,0.12488022083186005,0.28650913402019607
