Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,DJI_Volatility,SP500_Sharpe,SP500_Sortino,SP500_Return,SP500_Volatility,Random_Sharpe,Random_Sortino,Random_Return,Random_Volatility
2015-10-21,2020-10-21,2020-10-22,2021-10-22,0.10875298866245413,0.15216642824676604,0.2578425821883388,0.00837043287430776,0.1378156349226443,0.18718157410161407,0.3491366467941224,0.008622770902580793,0.12968666978506174,0.19054460557452205,0.36210379432273604,0.009481242667668784
2015-10-22,2020-10-22,2020-10-23,2021-10-25,0.11008306575232411,0.15382520199099833,0.2613527112151715,0.008369751984193024,0.13630640040085085,0.1849988159381226,0.3444335246099951,0.008616580353543915,0.12626649300370174,0.18329433764683664,0.35683547102949936,0.00964387703708036
2015-10-23,2020-10-23,2020-10-26,2021-10-26,0.12336528708469485,0.1754541008889043,0.2915436882690302,0.008229468918814752,0.14762708788624263,0.20266564275176804,0.371875036485656,0.008498957627326192,0.13519812876823759,0.19753051563614182,0.3773792878764661,0.00943499374000053
2015-10-26,2020-10-26,2020-10-27,2021-10-27,0.12368516557783787,0.17590698574253216,0.29230042515005705,0.00822697836029773,0.14693843156300265,0.20168651396959836,0.37015194322012146,0.008504848179541778,0.13789607011509727,0.20173550597349835,0.3850128025034651,0.009408453908877798
2015-10-27,2020-10-27,2020-10-28,2021-10-28,0.1494765859002473,0.23266408567790614,0.34730576495553833,0.007914040566433739,0.16982786846971634,0.24350078079926557,0.4265981981166249,0.008301887020586457,0.15450756739625457,0.23631842158704355,0.437383323690355,0.009376982439845541
2015-10-28,2020-10-28,2020-10-29,2021-10-29,0.1481702718973401,0.23052270256976434,0.3436142254377168,0.007910332089934061,0.16745225640419525,0.23985015189407227,0.4190194204446064,0.008293434390033737,0.15201732882317315,0.2306844885679828,0.4292982231829481,0.00936670555327989
2015-10-29,2020-10-29,2020-10-30,2021-11-01,0.15269784769293318,0.2360904516386982,0.35515743853610254,0.007898096749623407,0.17246478068413565,0.24542450138290653,0.4328110481495406,0.008274941912558979,0.15731360305257913,0.24081718664053203,0.4412543836736508,0.009284904573203934
2015-10-30,2020-10-30,2020-11-02,2021-11-02,0.14765546938044594,0.22677247942040443,0.3389994767013119,0.007845448068452159,0.16656351681497233,0.23523489561553673,0.4115758661794843,0.008212385397268743,0.1502875216465035,0.22649949610682815,0.42233859655911976,0.009352694126487753
2015-11-02,2020-11-02,2020-11-03,2021-11-03,0.1404916907509028,0.21318144017205018,0.3157765493762338,0.007751320508049384,0.15973705379629,0.22287602150061592,0.38624182611986374,0.0081134419582394,0.14125564034870466,0.2124471379382482,0.38874681971650576,0.009284721255159686
2015-11-03,2020-11-03,2020-11-04,2021-11-04,0.13386364768003364,0.20226869672653477,0.29720882350837097,0.007713810411355193,0.15337174312100568,0.21206104497973757,0.3644458772993404,0.008040128700099607,0.1405653479836451,0.20837766975058375,0.37885352130397104,0.009118264361036686
